date,city,city_name,actual_high_temp,actual_low_temp,actual_mean_temp,pressure_msl,wind_speed,wind_direction,wind_gusts,precipitation,rain,humidity,dewpoint,cloudcover,sunshine_hours,wind_from_north,wind_from_south,wind_from_east,wind_from_west,pressure_change_24h,temp_range,ecmwf_forecast,gfs_forecast,gdps_forecast,icon_forecast,nws_forecast,ensemble_mean,ensemble_spread,model_disagreement,nws_vs_ensemble,best_model
2020-01-01,NYC,New York (Central Park),39.7,29.9,35.3,1007.8,17.5,270,33.1,0.0,0.0,60,22.1,44,4.020766666666667,0,0,0,1,,9.800000000000004,39.41324720714915,38.443398911666996,44.98582096524861,41.25726171504135,42.33968035339015,41.02493219977653,2.5002229625167454,2.8828510258056728,1.3147481536136212,39.41324720714915
2020-01-02,NYC,New York (Central Park),47.4,28.0,36.5,1013.4,10.3,227,20.6,0.0,0.0,70,27.3,48,7.168044444444444,0,0,0,1,5.600000000000023,19.4,50.703322717023255,49.00438356536622,45.858091981054265,46.068155472462394,49.812256896885586,47.90848843397653,2.0373411491505613,2.0072592109453335,1.9037684629090563,50.703322717023255
2020-01-03,NYC,New York (Central Park),48.7,35.8,43.8,1009.9,6.5,234,11.6,0.189,0.189,88,40.3,100,0.7198277777777778,0,0,0,1,-3.5,12.900000000000006,45.610968580337236,48.54444073798087,44.357751244887105,48.84826526258426,50.835175626779886,46.84035645644737,1.9111726896544703,1.7544920601170797,3.9948191703325193,45.610968580337236
2020-01-04,NYC,New York (Central Park),49.1,39.6,45.3,1003.7,15.6,312,27.5,0.232,0.232,96,44.3,100,0.0,0,0,0,1,-6.199999999999932,9.5,49.51912330190545,50.976218717941194,53.02965388331983,48.88469234410699,56.11912695819721,50.602422061818366,1.5933698442119142,1.4400442891681238,5.51670489637884,49.51912330190545
2020-01-05,NYC,New York (Central Park),40.8,29.6,36.3,1010.1,22.8,307,42.7,0.016,0.016,60,23.2,61,7.083638888888888,0,0,0,1,6.399999999999977,11.199999999999996,41.11900493425523,42.698330125380714,39.57787457086986,43.22897096944602,43.40427549635657,41.65604514998795,1.4289558034342416,1.2739524552418011,1.748230346368615,41.11900493425523
2020-01-06,NYC,New York (Central Park),45.2,30.8,36.9,1014.8,14.8,248,29.1,0.051,0.0,66,25.9,50,6.883258333333333,0,0,0,1,4.699999999999932,14.400000000000002,47.407176953852,45.309008843547915,42.68916487123342,45.89059615943811,40.95745046669121,45.32398670701786,1.703176320789884,1.9300411587466353,4.366536240326646,47.407176953852
2020-01-07,NYC,New York (Central Park),42.5,30.8,36.2,1016.0,11.6,254,21.9,0.035,0.028,65,24.9,82,6.0,0,0,0,1,1.2000000000000457,11.7,41.99572129456707,42.8821608732645,47.254448585021535,42.97782291791291,42.848843672707595,43.7775384176915,2.043588901882705,2.2987167356407405,0.9286947449839076,41.99572129456707
2020-01-08,NYC,New York (Central Park),40.7,27.9,33.2,1016.2,20.1,279,41.8,0.004,0.0,62,19.9,29,8.196077777777779,0,0,0,1,0.2000000000000454,12.800000000000004,40.60545136394706,38.015818190469965,40.87165168002602,40.85432401420516,38.27847876136571,40.086811312162055,1.2003176833903033,1.2881014237811619,1.8083325507963437,40.60545136394706
2020-01-09,NYC,New York (Central Park),32.7,22.5,27.8,1038.4,14.5,291,26.8,0.0,0.0,50,11.1,49,8.071527777777778,0,0,0,1,22.200000000000045,10.200000000000005,30.919881578357455,31.736858634464536,32.82986595714539,32.013668727927815,30.0728113758712,31.8750687244738,0.68233646933918,0.7824574425667775,1.8022573486025983,30.919881578357455
2020-01-10,NYC,New York (Central Park),51.6,29.7,41.4,1034.0,14.5,221,26.2,0.0,0.0,80,35.5,76,3.2435500000000004,0,1,0,0,-4.400000000000091,21.9,52.03390837800646,52.67773364833846,51.842595418444475,50.7555259291846,53.08710255308065,51.827440843493505,0.6918919607566579,0.35723747007727374,1.2596617095871423,52.03390837800646
2020-01-11,NYC,New York (Central Park),64.5,46.4,57.3,1022.8,20.8,203,39.1,0.008,0.008,79,50.6,93,6.456405555555556,0,1,0,0,-11.200000000000044,18.1,64.21419406540953,62.121832585309704,66.5724887100028,65.03026202889974,64.20177423576065,64.48469434740545,1.6056786341698657,1.8180536031209926,0.282920111644799,64.21419406540953
2020-01-12,NYC,New York (Central Park),65.0,41.0,57.4,1017.9,28.0,235,62.2,0.102,0.102,70,47.2,57,7.527394444444444,0,0,0,1,-4.899999999999977,24.0,62.643421692747914,63.51027944172958,69.03713142476586,62.737486907178955,64.37162680089577,64.48207986660557,2.6512807866040013,2.831902763095721,0.11045306570980529,62.643421692747914
2020-01-13,NYC,New York (Central Park),47.7,34.0,40.3,1029.2,11.2,40,19.7,0.008,0.008,83,35.4,98,0.4561388888888888,1,0,0,0,11.300000000000068,13.700000000000005,47.67549635646957,48.34095357882311,44.705658128347174,47.961264384606906,43.484736343820806,47.17084311206169,1.4427175913479715,1.5803707521496593,3.686106768240883,47.67549635646957
2020-01-14,NYC,New York (Central Park),43.7,33.8,39.2,1025.1,8.9,88,17.7,0.024,0.024,91,36.6,100,0.3198249999999999,0,0,1,0,-4.100000000000136,9.900000000000006,43.84614319429327,42.395204161980836,41.968261466164385,44.95222573800138,43.1109843915903,43.29045864010997,1.1853207539303754,0.8037373759740651,0.17947424851966787,43.84614319429327
2020-01-15,NYC,New York (Central Park),48.2,37.2,41.9,1020.7,9.6,283,19.7,0.004,0.004,81,35.9,43,7.593041666666667,0,0,0,1,-4.399999999999864,11.0,48.91056620736136,49.21365382275564,50.73990697791021,46.387613387568464,50.497539156299396,48.81293509889892,1.5624910683696844,0.8005413759184689,1.6846040574004775,48.91056620736136
